Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,id,RUL,Voltage_measured_mean,Voltage_measured_std,Current_measured_mean,Current_measured_std,Temperature_measured_mean,Temperature_measured_std,Current_charge_mean,Current_charge_std,Voltage_charge_mean,Voltage_charge_std
4.211205614,0.057627774,6.248708521,0.0588,4.263,9955.656,3,847.657,4.191879724,0.055965407,0.56039489,0.529004804,6.369485805,1.071900575,0.563320549,0.531806878,4.529178715,0.296724559
4.211822106,0.075879475,5.531588705,0.0774,4.276,9123.734,6,1678.344,4.182905414,0.080228513,0.602349249,0.521853758,6.590075375,1.28871366,0.605469444,0.524711011,4.557283626,0.298648717
4.210856471,0.056960541,4.68185114,0.061,4.263,9623.36,8,1184.328,4.186927934,0.07556438,0.569391095,0.517028342,6.37606039,1.240587731,0.572549477,0.519822622,4.53303559,0.293734043
4.210685887,0.15671368,4.246324173,0.1569,4.314,6673.172,10,4132.515,4.17986976,0.083655557,0.760862202,0.500151324,6.810693743,1.186853323,0.765062361,0.502838125,4.617125126,0.285454984
4.214079506,0.058858575,4.422423629,0.0588,4.263,10592.563,12,211.515,4.192699696,0.066191174,0.510501359,0.507734606,6.247417874,1.342589451,0.513317266,0.510426721,4.486906932,0.274282945
4.210937495,0.06143369,6.071849361,0.0626,4.263,10228.11,15,576.859,4.198769286,0.041993693,0.519255778,0.494365743,6.150326352,1.063251109,0.522103672,0.496996952,4.508768358,0.285564791
4.211506922,0.115958179,5.629680615,0.1193,4.301,7898.312,19,2910.063,4.190745872,0.050591247,0.646667442,0.476556845,6.436887266,1.010393316,0.649950088,0.479123462,4.603545855,0.298380316
4.213060762,0.265765204,6.500336074,0.2676,4.39,5431.984,22,5372.266,4.177654919,0.079173751,0.852892805,0.447019062,7.208198106,1.001460943,0.857218205,0.449430089,4.694514539,0.283379
4.21188785,0.05492833,4.872971919,0.0566,4.263,10419.422,24,382.984,4.194561851,0.056575229,0.500469211,0.477837389,6.37414481,1.109039311,0.503045606,0.48033326,4.511442743,0.285065509
4.210193271,0.130638246,5.344989239,0.1302,4.301,7314.156,26,3489.047,4.189669629,0.064382022,0.664495403,0.476130241,6.737987335,1.144000529,0.668092871,0.478806032,4.592811787,0.289064028
4.21324212,0.057580751,5.242887162,0.0599,4.263,10672.36,28,133.719,4.198267956,0.051185135,0.478774989,0.475940135,6.311840549,1.158027167,0.481511788,0.478520247,4.476576948,0.26601122
4.211515286,0.080567086,5.588762413,0.0812,4.276,9594.547,31,1209.094,4.19985736,0.03502023,0.516705387,0.454718556,6.216523886,0.979400109,0.519600146,0.457215481,4.523130562,0.285872318
4.211676237,0.207862524,5.173157423,0.2098,4.339,5870.062,35,4935.063,4.19223991,0.050318288,0.799691326,0.469312175,6.869737619,0.983760283,0.803930346,0.471897748,4.635867384,0.282700926
